Title:,'client - Traffic - ens160',
Vertical Label:,'bits per second',
Start Date:,3/3/2022 19:45,
End Date:,3/4/2022 14:45,
Step:,300,
Total Rows:,228,
Graph ID:,8,
Host ID:,2,
,,
Date,Inbound,Outbound
13:05:00,555.9398589,46.54196069
13:10:00,704.8290448,50.77631174
13:15:00,647.8772206,60.37713308
13:20:00,762.1149832,50.82286692
13:25:00,759.9900781,46.50368826
13:30:00,666.5524442,59.07784972
13:35:00,570.9055111,55.61173333
13:40:00,670.0938667,46.35093333
13:45:00,811.4749333,50.94453333
13:50:00,1238.201067,56.86026667
13:55:00,563.2985119,53.03611163
14:00:00,652.2839226,46.51857198
14:05:00,819.2708061,55.38548117
14:10:00,643.5110891,58.17545528
14:15:00,605.8098412,46.20620585
14:20:00,580.3705825,51.0973393
14:25:00,493.0647578,53.35256812
14:30:00,633.6020905,53.18331517
14:35:00,508.9866634,46.51963511
14:40:00,613.8863572,55.56958306
